UBO,gbXML,gbXML_geometryPath,IFC,IFC_geometryPath
,,,,
SpaceCollectionLocation,Campus,x,IfcSite,x
SpaceCollectionLocation-Property,Location,Location-[Longitude]-[Latitude]-[Elevation],x,x
SpaceCollection,Building,x,IfcBuilding,x
SpaceCollection-Property,Coordinate,ShellGeometry-ClosedShell-PolyLoop-CartesianPoint-[Coordinate],x,x
Space,Space,x,IfcSpace,x
Space-Property,Coordinate,PlanarGeometry-PolyLoop-CartesianPoint-[Coordinate],x,x
SpaceBoundary,Surface,x,IfcSurface,x
SpaceBoundary-Property,Coordinate,PlanarGeometry-PolyLoop-CartesianPoint-[Coordinate],x,x
SpaceBoundaryElement,Material,x,IfcMaterialDefinition,x
SpaceBoundaryElement-Property,Thickness,Construction-Layer-[Thickness],IfcMlsTotalThickness,x
stop,,,,
,,,,
,,,,
,Elements,null,,
,Absorptance ,IfcAbsorbedDoseMeasure,,
,Address1 ,IfcAddress-IfcPostalAddress,,
,Address2 ,IfcAddress-IfcPostalAddress,,
,AdjacentSpaceId ,IfcRelReferencedInSpatialStructure,,
,aecXML ,null,,
,Age ,IfcDuration,,
,AirChangesPerHour ,Pset_AirTerminalOccurrence,,
,AirLoop ,IfcAirTerminal,,
,AirLoopEquipment ,IfcAirTerminalBox,,
,AirLoopEquipmentId ,IfcAirTerminalType,,
,AirLoopId ,IfcAirTerminalBoxType,,
,AirTemperature ,IfcThermodynamicTemperatureMeasure,,
,Albedo ,IfcSurfaceStyle-IfcSurfaceStyleLighting,,
,AltEnergySource ,IfcSolarDevice,,
,Area ,IfcAreaMeasure,,
,AverageNumberOfFloors ,IfcSlab,,
,Azimuth ,IfcPropertySingleValue,,
,Ballast ,IfcLightSource,,
,BeginDate ,ifcDate-IfcTime,,
,BiomassDensity ,IfcMassDensityMeasure,,
,Blind ,IfcShadingDevice,,
,BlowerDoorValue ,Pset_AirSideSystemInformation,,
SpaceCollection,Building ,IfcBuilding,,
,BuildingStorey ,IfcBuildingStorey,,
,CADMaterialId ,IfcMaterialConstituent,,
,CADModelAzimuth ,IfcPropertySingleValue,,
,CADModelId ,IfcProject,,
,CADObjectId ,IfcObjectReferenceSelect,,
SpaceCollectionLocation,Campus ,IfcSite,,
,Capacity ,Pset_AirTerminalBoxTypeCommon,,
,CartesianPoint ,IfcPolyLoop,,
,CDD ,IfcCoolingTower-IfcCoolingTowerType,,
,CDDValue ,IfcCoolingTower-IfcCoolingTowerType,,
,City ,IfcAddress-IfcPostalAddress,,
,ClosedShell ,IfcClosedShell,,
,CLTDParameters ,IfcGroup-IfcStructuralLoadGroup,,
,CoefficientOfUtilization ,IfcLuminousFluxMeasure,,
,CompanyName ,IfcPersonAndOrganization,,
,Conductivity ,IfcThermalConductivityMeasure,,
,ConductivityFofT ,IfcThermalTransmittanceMeasure,,
,Construction ,IfcElementAssembly,,
,Control ,IfcControl-IfcFlowController,,
,Coordinate ,IfcCartesianPoint,,
,Cost ,IfcCostValue,,
,CostValue ,IfcCostItem,,
,Country ,IfcAddress-IfcPostalAddress,,
,CreatedBy ,IfcPersonAndOrganization,,
,CyclesPerWeek ,IfcMeasureWithUnit,,
,Data ,IfcDataOriginEnum,,
,Day ,IfcDate-IfcTime,,
,DaylightSavings ,IfcTimeSeries,,
,DaySchedule ,IfcTask,,
,DDDayCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDDayHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDDaylightCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDDaylightHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDDBCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDDBHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDDBRangeCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDDBRangeHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDGroundTCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDGroundTHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDHiHrCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDHiHrHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDLoHrCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDLoHrHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDMonthCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDMonthHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDPressureCool ,Pset_OutsideDesignCriteria-IfcPressureMeasure,,
,DDPressureHeat ,Pset_OutsideDesignCriteria-IfcPressureMeasure,,
,DDRainCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDRainHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDSkyClearnessCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDSkyClearnessHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDSnowCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDSnowHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDWBCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDWBHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDWindDirCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDWindDirHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DDWindSpeedCool ,Pset_OutsideDesignCriteria-IfcCoolingTower-IfcCoolingTowerType,,
,DDWindSpeedHeat ,Pset_OutsideDesignCriteria-IfcHeatingValueMeasure,,
,DeltaP ,IfcPressureMeasure,,
,DeltaT ,IfcTemperatureGradientMeasure-IfcTemperatureRateOfChangeMeasure,,
,Density ,IfcMassDensityMeasure,,
,DensityFofT ,IfcHeatFluxDensityMeasure,,
,DependentValue ,IfcValue,,
,DependentVariable ,IfcContextDependentMeasure,,
,Description ,IfcDescriptiveMeasure,,
,DesignCoolT ,IfcThermodynamicTemperatureMeasure,,
,DesignFlow ,IfcVolumetricFlowRateMeasure,,
,DesignHeatT ,IfcThermodynamicTemperatureMeasure,,
,DesignPressure ,IfcPressureMeasure,,
,DesignTemp ,IfcThermodynamicTemperatureMeasure,,
,Dimensions ,IfcDimensionsForSiUnit,,
,DocumentHistory ,IfcDocumentInformation,,
,Efficiency ,IfcPerformanceHistory,,
,ElecLoad ,IfcPowerMeasure,,
,Elevation ,IfcSite.RefElevation,,
,Email1Address ,"IfcAddress, IfcTelecomAddress",,
,EmissionRate ,Pset_AirSideSystemInformation-IfcVolumetricFlowRateMeasure,,
,Emittance ,IfcTemperatureGradientMeasure,,
,EndDate ,ifcDate-IfcTime,,
,Energy ,IfcEnergyMeasure,,
,Enthalpy ,IfcHeatFluxDensityMeasure,,
,Equation ,IfcCurveDim,,
,EquipPowerPerArea ,IfcHeatFluxDensityMeasure,,
,Expression ,IfLine,,
,ExtEquip ,IfcConstructionEquipmentResource,,
,ExtEquipId ,IfcConstructionResourceType,,
,FamilyName ,IfcPersonAndOrganization,,
,FileName ,null,,
,Fire ,Pset_SpaceFireSafetyRequirements,,
,FireFace ,Pset_SpaceFireSafetyRequirements,,
,FirstName ,IfcPersonAndOrganization,,
,FloorSlabHeatLossCoefficient ,IfcSlab-Pset_ManufacturerTypeInformation,,
,Flow ,Pset_AirSideSystemInformation-IfcVolumetricFlowRateMeasure,,
,FlowControl ,Pset_AirSideSystemInformation-IfcVolumetricFlowRateMeasure,,
,FlowPerArea ,Pset_AirSideSystemInformation-IfcVolumetricFlowRateMeasure,,
,FlowPerPerson ,IfcRelFlowControlElements,,
,Frame ,IfcDoorLiningProperties-IfcWindowLiningProperties,,
,FuelLoad ,Pset_MaterialFuel,,
,Gap ,IfcWindowPanelProperties,,
,GapId ,IfcWindowStyle,,
,gbXML ,IfcDocumentInformation,,
,GeneralGeometry ,IfcGeometricModelResource,,
,Glare ,IfcWindowPanelProperties,,
,Glaze ,IfcWindowPanelProperties,,
,GlazeConductivity ,IfcWindowPanelProperties,,
,GlazeId ,IfcWindowStyle,,
,GroundTemp ,IfcThermodynamicTemperatureMeasure,,
,GroundTempValue ,IfcThermodynamicTemperatureMeasure,,
,GUID ,IfcDocumentInformation,,
,HDD ,IfcHeatingValueMeasure,,
,HDDValue ,IfcHeatingValueMeasure,,
,HeatRejectedtoSpace ,IfcHeatingValueMeasure,,
,Height ,IfcLengthMeasure,,
,HighLimit ,Pset_AirSideSystemInformation,,
,HighValue ,Pset_AirSideSystemInformation,,
,HolidayDate ,IfcDate,,
,HolidaysModeled ,IfcDate,,
,HorizontalSolar ,IfcEnergyMeasure,,
,HOutside ,IfcHeatFluxDensityMeasure,,
,HydronicLoop ,IfcConstructionEquipmentResource,,
,HydronicLoopEquipment ,Pset_CoilTypeHydronic,,
,HydronicLoopEquipmentId ,Pset_CoilTypeHydronic-IfcLabel,,
,HydronicLoopId ,IfcConstructionEquipmentResourceType,,
,Illuminance ,IfcIlluminanceMeasure,,
,ImageTexture ,IfcImageTexture,,
,IndependentValue ,IfcValue,,
,IndependentVariable ,IfcContextDependentMeasure,,
,IndoorAirQuality ,Pset_AirTerminalOccurrence,,
